_text|_rt_count|_tweet_datetime
EDEN WAKAME SEAWEED 2.1 OZ Popular for Its Essential Role as the Lovely Green in Miso Soup. Grown Off the Ise Coast https://t.co/IS7BpchG7V|0|Mon Feb 15 20:44:33 +0000 2016
"@RonPaulInstitut: Presidents Day 2016: Who Was Best? Who Was Worst?
https://t.co/eogbFSk6e0"|2|Mon Feb 15 20:44:33 +0000 2016
@ScotsFyre: They can't stop him from nominating. And the Dems can thank Reid for the 60 vote threshold @catfanfl @gabrielmalor @jonfavs|7|Mon Feb 15 20:44:33 +0000 2016
PLEASE SIGN and RETURN Self Inking Rubber Stamp Red Ink 42A1539WEB-R Ensure Efficient Communication and Provide https://t.co/KarxbrLaAe|0|Mon Feb 15 20:44:33 +0000 2016
@JustaFan18: @rcarr57 @AOL Interesting to want someone who knows the real #constitution &amp; #laws of #America &amp; #SCOTUS #job.|1|Mon Feb 15 20:44:33 +0000 2016
@ZekeJMiller @stephenfhayes This man(Trump). Hasn't got a clue!|0|Mon Feb 15 20:44:33 +0000 2016
@Cristalluceero: I'm so happy for Kehlani              |1|Mon Feb 15 20:44:33 +0000 2016
"@samsBellabob @Daisy_dor 
Hahahhaha but I like it"|0|Mon Feb 15 20:44:33 +0000 2016
How much do you know about Coke Zero? Test yourself! https://t.co/3kvtvCl8Zv #CokeZeroTrivia|0|Mon Feb 15 20:44:33 +0000 2016
@Tanyawarren: A new era by planitisgi.gr https://t.co/FgDhWK7vXl via Etsy Cute list by @PLANITISGI inc. my #baby blanket      #craft https:   |1|Mon Feb 15 20:44:33 +0000 2016
"Found a Transponder Snail!
Get an inside look at a shadowy criminal empire!
https://t.co/LDrAsmNJjR #TreCru https://t.co/0sQ3Hvp5Wb"|0|Mon Feb 15 20:44:33 +0000 2016
I sure do miss my best friend @Caarleeraae     |0|Mon Feb 15 20:44:33 +0000 2016
@_tyera: I don't wanna fall in love|1|Mon Feb 15 20:44:33 +0000 2016
Dude (@mmann), we're just getting the      East Coast under control. @kellenw when you're back in Van, a #RandomActsOfPizza may be in store.|0|Mon Feb 15 20:44:33 +0000 2016
@MindfulStudies: A #mindfulmonday reminder from @KripaluCenter https://t.co/5QTHDXBesk|7|Mon Feb 15 20:44:33 +0000 2016
It's Been A Long Day Today     |0|Mon Feb 15 20:44:33 +0000 2016
God knows and understand the hearts of people better than we do.|0|Mon Feb 15 20:44:33 +0000 2016
@Ellis_2025: Kia sportage 31k miles   253 PM no deposit.. Great family car very practical! Message for more info @PROSPORTSCARS https://t   |3|Mon Feb 15 20:44:33 +0000 2016
@TeamWizVIP  sent 30 for access through March 31.Twitter handle is claybird32|0|Mon Feb 15 20:44:33 +0000 2016
@bevansisme: @C0dyR0se you better cheer up right now and get out of your blah mood.     |3|Mon Feb 15 20:44:33 +0000 2016
@Popn_C4: Females do lol  https://t.co/akdfESZYKP|1|Mon Feb 15 20:44:33 +0000 2016
@macsterd @tedcruz  I am a independent and voting for Trump|0|Mon Feb 15 20:44:33 +0000 2016
@BarryAlanHair: Who's coming to the amazing #hairshow @nwchfw #norwichhour #norfolkhour. We are going to be show casing our haircut and    |1|Mon Feb 15 20:44:33 +0000 2016
"@Kranged unless you're VERY close to Sweden I gotta disagree... tutorial is THAT long.
Great game, but poorly optimized at best.
Have fun ;)"|0|Mon Feb 15 20:44:33 +0000 2016
Love you @jeremiahlwj !!!|0|Mon Feb 15 20:44:33 +0000 2016
@Billyesmiwacho: DOCE. #VoteLabRats #KCA|6|Mon Feb 15 20:44:33 +0000 2016
@mmeeggan_16 @AlmightyChinoo Lol of course you did|0|Mon Feb 15 20:44:33 +0000 2016
@CRDJSAngels: New #Mixtape #Alert #TheCoSign @Yung_Yungn_XO download now via @spinrilla https://t.co/N5ScKff4ZK https://t.co/kvQbEgiedy|1|Mon Feb 15 20:44:33 +0000 2016
@OlicityDreams: Barrowman. https://t.co/EiGXbGTjle|7|Mon Feb 15 20:44:33 +0000 2016
@Zayn_Raw: .@krbe I'm requesting @zaynmalik's new song #PillowTalk|1|Mon Feb 15 20:44:33 +0000 2016
@Tbhsherin they trying to get you up outta here|0|Mon Feb 15 20:44:33 +0000 2016
"I can hear every movement of that man's* teeth crunching his food partly because food is cascading from it as he chews. 

*not window man"|0|Mon Feb 15 20:44:33 +0000 2016
@baldwinhumane: Hanging with @Kelly_WPMI Local 15. We're with @KellyJ_WPMI every other Friday at 12:30!! https://t.co/54zMBajZwC|1|Mon Feb 15 20:44:33 +0000 2016
@aevarrafn: Protectors of Iceland and Mount Hekla. https://t.co/447fAQTgq0 via @Etsy #handmade #screenprinting #tshirtoftheday https://t   |2|Mon Feb 15 20:44:33 +0000 2016
Dear @ATinyAdventure , I think I've found the perfect t-shirt... https://t.co/XDz3LVbhG5|0|Mon Feb 15 20:44:33 +0000 2016
@_Okaykaykay true. . But she could not be so hard about it, ladies know guys are attracted to woman of all kinds. .|0|Mon Feb 15 20:44:33 +0000 2016
@JamillKeeper: Who need friends when i have you?       https://t.co/H7XJLdwaI6|1|Mon Feb 15 20:44:33 +0000 2016
@sidmedjo glad you agree!|0|Mon Feb 15 20:48:46 +0000 2016
:/ I knew I was taking a risk not using waterproof mascara  https://t.co/ELjudLh92c|0|Mon Feb 15 20:48:46 +0000 2016
I just over-infused my milk with thyme and bay leaves. Seriously, FML.|0|Mon Feb 15 20:48:46 +0000 2016
MIKEY MOTHERBEAR THE SPAM|0|Mon Feb 15 20:48:46 +0000 2016
"""are u gonna be a happy boy then?"""|0|Mon Feb 15 20:48:46 +0000 2016
@Beymonce: I didnt know ciara was sooo bad at singing.  https://t.co/MHzT2R39Hm|1|Mon Feb 15 20:48:46 +0000 2016
@Leonfe26: Funny and #sarcastic illustrations #4         https://t.co/2WcKkc19rC https://t.co/7vBMVDlrMC|5|Mon Feb 15 20:48:46 +0000 2016
Shout out to #Obama for being proof of making #haters your motivators.|0|Mon Feb 15 20:48:46 +0000 2016
@web20classroom: The PBL Resources over at @BIEpbl are really second to none. https://t.co/lfBr1NIQzy|1|Mon Feb 15 20:48:46 +0000 2016
@jiyongbling:     virgo: sphinx     https://t.co/sii7XTfSR6|2|Mon Feb 15 20:48:46 +0000 2016
@JamesAwandu on my Timeline the pinned tweet|0|Mon Feb 15 20:48:46 +0000 2016
DON'T KNOW WHY I  CAME IN THIS CLUB WITH YOU GIRL|0|Mon Feb 15 20:48:46 +0000 2016
@boopjpg:     like an illusion     #       #jungkook #                #btsfanart (ref by @justkookiee) https://t.co/vqahjuyDvO|9|Mon Feb 15 20:48:46 +0000 2016
@graham_euan: Expert: don't swallow selective quote bubblegum propaganda from @XHNews  https://t.co/83OOsgmtcx|2|Mon Feb 15 20:48:46 +0000 2016
"Suddenly the media are talking is up for the league.  If it doesn't work out it will be ""the fans all said this was the year"". #THFC"|0|Mon Feb 15 20:48:46 +0000 2016
@Llydisblur BREAD FOR YOUR STARVING WIFE AND CHILD. GO LUNAR PRISON. WHAT THE FUCK IS THIS LES FUCKING MISERABLES?|0|Mon Feb 15 20:48:46 +0000 2016
Um I'm too uptight  https://t.co/HMYrd2Dczd|0|Mon Feb 15 20:48:46 +0000 2016
@socialistprick15 year olds are sucking people off in car parks cus deluded  people like you bring them up and look to blame others|0|Mon Feb 15 20:48:46 +0000 2016
@JennaAnneWeber @MarkMeets thank you     |0|Mon Feb 15 20:48:46 +0000 2016
That's that bullshit . Only makes me madder. https://t.co/3r274nakNB|0|Mon Feb 15 20:48:46 +0000 2016
The Senate must do its job and consider Obama's pick to replace Scalia https://t.co/Ggv1NDeiMC @GOP AS HORRIBLE AS SCALIA! TRAITORS 2 PUBLIC|0|Mon Feb 15 20:48:46 +0000 2016
@CockShare:    @bi_ndk85: How is this for some #WetWednesday #precum? #HotSAcock #uncutcock @CocksDaily2 @CockShare http://t.co/cBOvk19ABo   |3|Mon Feb 15 20:48:46 +0000 2016
@girsponge it's never too late to be you &lt;3|0|Mon Feb 15 20:48:46 +0000 2016
@aminugamawa @dhortuneademola I think consultation before approval isn't good,It looks like imposition|0|Mon Feb 15 20:48:46 +0000 2016
@MissWallMath: My people. Wow, it's been a good year. @AvesDanceTeam https://t.co/Bi5xgTw8nv|4|Mon Feb 15 20:48:46 +0000 2016
Gia's such a dork                     |0|Mon Feb 15 20:48:46 +0000 2016
I liked a @YouTube video https://t.co/XCbuCXe1Rd Pachelbel - Canon in D (Best Piano Version)|0|Mon Feb 15 20:48:46 +0000 2016
"Just maybe you follow me.
I want so much that.
All the good wishes
@Harry_Styles z"|0|Mon Feb 15 20:48:46 +0000 2016
The Senate must do its job and consider Obama's pick to replace Scalia https://t.co/ayfIwq22FS|0|Mon Feb 15 20:48:46 +0000 2016
THIS FRIDAY Shangri-La! @ The Carlton Club, Prestwich   5 on door #raffle #pies #bar #cabaret #entertainment #AdventuresofSalvador #party !|0|Mon Feb 15 20:48:46 +0000 2016
@matt_5200 @JT_Payton @BenMay13 see this guy gets it, he wore the brown pants|0|Mon Feb 15 20:48:46 +0000 2016
I've just watched episode S01E10 of The Twilight Zone! https://t.co/VYrm6Pp51v #twilightzone #tvshowtime https://t.co/ksJ39DrH1G|0|Mon Feb 15 20:48:46 +0000 2016
"""Tch, she wishes that she gave birth to Inuyasha."""|0|Mon Feb 15 20:48:46 +0000 2016
when ur at the barrier for a gig but u rly have to pee      the struggles!!!!!!|0|Mon Feb 15 20:48:46 +0000 2016
@TheFive POTUS would destroy RNC if he nominated @tedcruz for SC. GOP would have 2 rally for him after espousing hate for so long. + more.|0|Mon Feb 15 20:48:46 +0000 2016
@bieberftmarshal: LOOK AT HA I CANT SHES PERFECT             https://t.co/5Chjm4UPaY|6|Mon Feb 15 20:48:46 +0000 2016
@DonnaHay: This super-green zucchini frittata is  simple to make and good for you! From Fresh + Light https://t.co/zYFUrTcjqc https://t.   |4|Mon Feb 15 20:48:46 +0000 2016
he really wants me to die so bad https://t.co/t18AHMWosb|0|Mon Feb 15 20:48:46 +0000 2016
@Hai I hate time Difference it  s about 10 PM in Germany Fail|0|Mon Feb 15 20:48:46 +0000 2016
School is tearing me apart.|0|Mon Feb 15 20:48:46 +0000 2016
Dear Black child stay strong this system is too violent on us. I'm saddened . #IAmLindelani|0|Mon Feb 15 20:48:46 +0000 2016
"@yournewbook: ""M.T. Magee has captured a wonderful story full of #intrigue and #romance."" 25 five star reviews https://t.co/gTbhwfKheN @   "|6|Mon Feb 15 20:48:46 +0000 2016
@RedHotSquirrel: Thank goodness Switzerland &amp; Norway kept EFTA alive after we departed, even adding new members. Other EU members can jo   |10|Mon Feb 15 20:48:46 +0000 2016
@k_lindyman I blame 21 pilots for my speeding #jamtohard|0|Mon Feb 15 20:48:46 +0000 2016
@brucebusiness: Social media everywhere! I am outraged by whatever it is that this piece is about  https://t.co/ipkfAwvVSp|2|Mon Feb 15 20:48:46 +0000 2016
46. The best vine of all time, Crack Kid. https://t.co/qbR3vgR1PX|0|Mon Feb 15 20:48:46 +0000 2016
Update - turns out my Salmon Risotto is pretty good! Definitely goin' in the big book of recipes to make later.|0|Mon Feb 15 20:48:46 +0000 2016
You the type of person to shovel your driveway while its still snowing outp|0|Mon Feb 15 20:48:46 +0000 2016
@juanjo_red: Waking up to horrible news     |1|Mon Feb 15 20:48:46 +0000 2016
"   Good friends, good books, and a sleepy conscience: this is the ideal life.   
    Mark Twain"|0|Mon Feb 15 20:48:46 +0000 2016
@jayrdub13 I know, I know.  but say it anyway. https://t.co/9mTBzQMidx|0|Mon Feb 15 20:48:46 +0000 2016
Car Tires 101: What to look for and what to check when examining your car's tires: https://t.co/W4ZosN6Jir https://t.co/f0RhCKG4vf|0|Mon Feb 15 20:48:46 +0000 2016
"@ScorpioBert: Clive Intro https://t.co/a6klR1gnbZ
Performance: https://t.co/fxL8roguko
via @devenlane"|8|Mon Feb 15 20:48:46 +0000 2016
@DubaiJane @SeaWorldTyler @SeaWorld Yes, they are all the same. Nothing special about you. Keep dreaming.|0|Mon Feb 15 20:48:46 +0000 2016
he's so smol and squishy i want to cuddle https://t.co/c7jp6t6cJc|0|Mon Feb 15 20:48:46 +0000 2016
AMAZING!!   The Best Beat Drops and Vine Songs Mega Mix (257 songs) https://t.co/mVla0CT7Ic via @YouTube|0|Mon Feb 15 20:48:46 +0000 2016
"@SheerExcellence: I'm online      Bow to my perfection https://t.co/aHNlY078YE

#FemDom #FinDom #Goddess 

@RTpig @underdeskloser @FindomR   "|2|Mon Feb 15 20:48:46 +0000 2016
"@Akito_Z: Random manga cover of the day: ""17-Sai"" by Rin Mikimoto. https://t.co/Kx6764vKuL"|1|Mon Feb 15 20:48:46 +0000 2016
"when you love someone but it goes to waste
could it be worse?"|0|Mon Feb 15 20:48:46 +0000 2016
@SumNegro @TheTruf21 @ItsHarvin he cute|0|Mon Feb 15 20:48:46 +0000 2016
every moment I spent with you.. is like a beautiful dream come true- Josie|0|Mon Feb 15 20:48:46 +0000 2016
New series of #Indiansummers set to return to our screens. Ensure you're prepared with your #bollywood shoes https://t.co/T0EUqSwFeL|0|Mon Feb 15 20:48:46 +0000 2016
if my tweets have made you angry before.|0|Mon Feb 15 20:52:24 +0000 2016
@Reyes10Tyler how does this tweet benefit anyone??|0|Mon Feb 15 20:52:24 +0000 2016
And I will see you! Looking forward to it.  https://t.co/GXPPGUpQt6|0|Mon Feb 15 20:52:24 +0000 2016
@Something_Mvjor: @_xpvreeecaineee ugly bitches|1|Mon Feb 15 20:52:24 +0000 2016
@leeodden: These Are the Brands Americans Trust the Most https://t.co/BXX1NAtjtm https://t.co/xvpezwEkfb|5|Mon Feb 15 20:52:24 +0000 2016
#Kindle #AMAZON #France The Girl Nobody Wants is a #Shocking True Story of #ChildAbuse in #Ireland #Catholic #Church https://t.co/Axk7Kd387L|0|Mon Feb 15 20:52:24 +0000 2016
@BridgendAC: Well done to everyone out tonight as we experimented with the tempo run &amp; hills session.thanks to our group leaders.hope yo   |1|Mon Feb 15 20:52:24 +0000 2016
i just wanna go to sleep..     |0|Mon Feb 15 20:52:24 +0000 2016
My mom is really trying to clean on the hottest day smh|0|Mon Feb 15 20:52:24 +0000 2016
@toxicsoy: The #Monsanto Tribunal started a Twitter account today. Follow and RT pls! https://t.co/8eUaeFYC9z|10|Mon Feb 15 20:52:24 +0000 2016
"@JeffWhite25 Once a KGB agent, always a KGB agent @Putin
Same old tactics being used from unwanted witnesses to Ukraine/Syria..."|0|Mon Feb 15 20:52:24 +0000 2016
@USATODAYcollege: It's time to start applying for scholarships! Here are the best resources. https://t.co/FMTFcpYP5I|9|Mon Feb 15 20:52:24 +0000 2016
if she stan zayn she has 9193819182818191 photos on his phone of him and many repeated|0|Mon Feb 15 20:52:24 +0000 2016
of course she will :))) https://t.co/Q5SihVULFP|0|Mon Feb 15 20:52:24 +0000 2016
@RM_Makeup: My fab #mediamakeup students from @bbcollege doing an ace job applying #theatremakeup for #clitheroedramaticsociety https://   |2|Mon Feb 15 20:52:24 +0000 2016
Defiant bitch till I die     |0|Mon Feb 15 20:52:24 +0000 2016
Me stanning boy groups has nothing to do with your nasty tweets, but #werk I guess.|0|Mon Feb 15 20:52:24 +0000 2016
if you look in the mirror and say Dylan McDermott three times Dermot Mulroney will appear|0|Mon Feb 15 20:52:24 +0000 2016
i gotta say im feeling actually kinda good today|0|Mon Feb 15 20:52:24 +0000 2016
@Lang_Michael6 dang should've told me earlier bruh lol currently eating some fried chicken rn|0|Mon Feb 15 20:52:24 +0000 2016
"Hii @Harry_Styles
Hope you're enjoying yourself! x  You have make me feel wanted. Mind following me, please? I love you always       *     13.330"|0|Mon Feb 15 20:52:24 +0000 2016
Indian unicorn targets price-conscious; Optimism for online shopping remains despite ongoing losses|0|Mon Feb 15 20:52:24 +0000 2016
@CuntinaFuckoffa: @curse_t_70 that's me! I put the rave in brave|1|Mon Feb 15 20:52:24 +0000 2016
i don't remember who you are but thank you to the human who drove me home last night #iappreciateyou|0|Mon Feb 15 20:52:24 +0000 2016
There could be a threat for an isolated severe thunderstorm tomorrow afternoon across NJ.|0|Mon Feb 15 20:52:24 +0000 2016
How good is it just doing nothing at times|1|Mon Feb 15 20:52:24 +0000 2016
@verduzco_5: My attitude for the rest of senior year https://t.co/Bxs7i4sUVo|4|Mon Feb 15 20:52:24 +0000 2016
If you don't know where you're going, how do know when you get there?|0|Mon Feb 15 20:52:24 +0000 2016
I wanna explore your body        |0|Mon Feb 15 20:52:24 +0000 2016
"@se4realhinton: It could have been a scene of a soldier going back to war in the last century.
You have to read this! #Iliad"|1|Mon Feb 15 20:52:24 +0000 2016
@GRANDEnESPINOSA im WORRIED bc the grammys never actually confirmed smh :(|0|Mon Feb 15 20:52:24 +0000 2016
@mariannepowell @laurakcarus Ah. The lurgy with bonus tracks. I did that one in December and January.|0|Mon Feb 15 20:52:24 +0000 2016
@SchoolLifeTroy: Athens High School Charity Week raised 84K for the Joan Rose Foundation. Watch highlights of this week's events https:/   |7|Mon Feb 15 20:52:24 +0000 2016
@HofmannKeith You mean like you did with this teenaged girl and her parents?|0|Mon Feb 15 20:52:24 +0000 2016
Probably the dumbest thing I've ever done.|0|Mon Feb 15 20:52:24 +0000 2016
@seanhannity Caller just nailed you!! Maybe you should listen Levin to how it's done. We don't need access to Trump. He's all over the MSM.|0|Mon Feb 15 20:52:24 +0000 2016
@The50Rules: Do you fit one of these? #entrepreneur #social #media #branding #Startup #marketing ? So are our smart followers.|3|Mon Feb 15 20:52:24 +0000 2016
@zecville: why will I keep an atheist as a friend?|2|Mon Feb 15 20:52:24 +0000 2016
@DatOneGuyJoel: Nobody literally fucks with you. Bitch your        were too dull to cut anybody off.|1|Mon Feb 15 20:52:24 +0000 2016
@mitchellvii I'd like to see more of the polite presidential guy. All the name calling makes him look weak. His observations are correct tho|0|Mon Feb 15 20:52:24 +0000 2016
@foxandfriends @tedcruz Finally picked the candidate I will be supporting for POTUS today!  I'm voting for #TedCruz https://t.co/OHn7SM9HBL|0|Mon Feb 15 20:52:24 +0000 2016
In case you missed it the first time, here's my early January post on Layman Albatrosses, seen in Kaua'i: https://t.co/o7qZV3GAeV|0|Mon Feb 15 20:52:24 +0000 2016
I just checked in at T-Mobile with #mPLUSPlaces Download today!  https://t.co/xa2UJoQKyU|0|Mon Feb 15 20:52:24 +0000 2016
@jazzyjaylovee they was over us          estaba buena la cena . I didn't even take a sip out of my soda lol|0|Mon Feb 15 20:52:24 +0000 2016
I just feel kinda sad|0|Mon Feb 15 20:52:24 +0000 2016
@PanPotOFFICIAL May I send you some promos?|0|Mon Feb 15 20:52:24 +0000 2016
We Think These Martian Roadmaps Accidentally Revealed the Site of an Upcoming Mars Landing: In 2018, a Martian... https://t.co/bQFcYFHl5b|0|Mon Feb 15 20:52:24 +0000 2016
@1kallenn thank you|0|Mon Feb 15 20:52:24 +0000 2016
@Clexamour: @wingsoflirry babe #InternetFriendsDay|1|Mon Feb 15 20:52:24 +0000 2016
Link of the day! Most popular link among people I follow is https://t.co/yNYZDuHRN5 by @NASA|0|Mon Feb 15 20:52:24 +0000 2016
@suheylademirkpi: @tarikkayaBJK Amin|1|Mon Feb 15 20:52:24 +0000 2016
@iam_SeanDennis: Check out my new tune  #Nsido (Remix ) Ft Tha suspect https://t.co/FGHPgLZCvT and RT cc @mreazi @SAMKLEF @UNCLE_AJALA|3|Mon Feb 15 20:52:24 +0000 2016
You see Cooper that's what happens when you let headloss get the better of you|0|Mon Feb 15 20:52:24 +0000 2016
@DriverWrites @longreads I just arrived about 3 weeks ago, but will be here until June. Came for the food! It's fantastic :)|0|Mon Feb 15 20:52:24 +0000 2016
"Here's a poem I wrote inspired by @cthagod and a piece of artwork.
""Embrace Your Truth"" https://t.co/BFFT3GngbJ
 #poetry #inspiration"|0|Mon Feb 15 20:52:24 +0000 2016
1 tweep unfollowed (goodbye!) me in the past day. Thank you https://t.co/RyqI6v2pAj.|0|Mon Feb 15 20:52:24 +0000 2016
"@missclairegrady T-Rex ""How dared you writing such a bad script?""
Unlucky bastard ""Well, wait for JP3-..aaaaaahhhh....____"""|0|Mon Feb 15 20:52:24 +0000 2016
listening to: The One (feat. Sneaky Sound System) - The Knocks https://t.co/HVJNRkfGRw|0|Mon Feb 15 20:52:24 +0000 2016
Need a good email client for all my accounts across multiple devices?|0|Mon Feb 15 20:52:24 +0000 2016
@tawie89: False advertising      https://t.co/hMX0aCc37M|1|Mon Feb 15 20:52:24 +0000 2016
Wish they would leave the light where it at and put another one facing pan. #SafariLive|0|Mon Feb 15 20:52:25 +0000 2016
@theawakened_ is that why the alarm went off? Geez|0|Mon Feb 15 20:52:25 +0000 2016
@ornab56: 15% OFF select products. #Sale ending soon! SALE details: https://t.co/XrRfS9epVi. via @OTstores https://t.co/lOAv6czjg9|1|Mon Feb 15 20:52:25 +0000 2016
@kevinskicks: Didn't get your sugar fix from V-day? Well good thing, because Kevin's Kicks will be having a bake sale Tues-Thurs all lun   |4|Mon Feb 15 20:52:25 +0000 2016
@LoserInTheEnd: BBC Radio 5 Live now Bob Paisley appreciation! https://t.co/FxKmvpGM76  #LFC|2|Mon Feb 15 20:52:25 +0000 2016
@fxckthatshxt23          she can't get in where she don't fit in.|1|Mon Feb 15 20:52:25 +0000 2016
@ladygaga gonna be a Great Performance tonight!|0|Mon Feb 15 20:52:25 +0000 2016
@TriangleMadMan Yes, yes i did miss you|0|Mon Feb 15 20:52:25 +0000 2016
@jarred_419 because you said you'd kill yourself...so I said I'll give you the gun to do so...|0|Mon Feb 15 20:52:25 +0000 2016
I wanna watch the Grammys but I'm honestly to lazy to get up and get the remote smh|0|Mon Feb 15 20:52:25 +0000 2016
Sounds a lot like @BernieSanders doesn't she? https://t.co/DFPtCewwKj|0|Mon Feb 15 20:52:25 +0000 2016
've been having this dream that we can fly, So maybe if we never wake up, we can see the sky.|0|Mon Feb 15 20:52:25 +0000 2016
The key takeaway, the problem is the broken Republican Party, not Madisonian institutions: https://t.co/KZu0n4ZCZC|0|Mon Feb 15 20:52:25 +0000 2016
@93ZAYNPORNS: @ZAYNGONADA @zaynmalik waw amazing|1|Mon Feb 15 20:52:25 +0000 2016
#MondayMotivation for all of our #physicians &amp; followers of #premierphysicianagency - https://t.co/igBmfjwuss https://t.co/a96YC7aZbA|0|Mon Feb 15 20:52:25 +0000 2016
My belly hurts I'm so scared for Justin|0|Mon Feb 15 20:52:25 +0000 2016
"@Keaton_J: I have no prob with Christians making good music or working with secular artists but spare me the whole ""I'm trying to reach    "|9|Mon Feb 15 20:52:25 +0000 2016
@IanDon: Heatwave I https://t.co/jwfwI3Est9|1|Mon Feb 15 20:52:25 +0000 2016
@mbanalnemer: 21. Saudi laws states: A prisoner must be enrolled in academic program but #Ali_Alnimr wasn   t allowed to take the exams fo   |10|Mon Feb 15 20:52:25 +0000 2016
Iceland Sentences 26 Corrupt Bankers To 74 Years In Prison https://t.co/Fl0MPRHLT8|0|Mon Feb 15 20:52:25 +0000 2016
https://t.co/yG6Yi03e5S Search for ur favorite song here 2016 its mobile friendly https://t.co/ztOYhTbZZg|0|Mon Feb 15 20:52:25 +0000 2016
Wit the      #UncleBan https://t.co/YGZWbic2rT|0|Mon Feb 15 20:52:24 +0000 2016
@bigdaddyjor: i hate everyone and everything rn|1|Mon Feb 15 20:52:24 +0000 2016
@Mo_Dazzle: All i know in this life is u just gotta keep doing your part...|1|Mon Feb 15 20:52:24 +0000 2016
@lexwexi  love &amp; miss you    |0|Mon Feb 15 20:52:24 +0000 2016
While I am a supporter of the oldest Division I collegiate athletic conference primarily in the    https://t.co/eRohZhr7jL|0|Mon Feb 15 20:52:24 +0000 2016
The characteristic similarities between @HillaryClinton and Richard Nixon, both good and bad, are actually terrifying.|0|Mon Feb 15 20:52:24 +0000 2016
@craigbarber05 you can have one of them whenever          oidy oi #cheeky|0|Mon Feb 15 20:52:24 +0000 2016
NBA Trade Deadline 2016: Evaluting the Utah Jazz bench https://t.co/wakhjnWOku https://t.co/aawj1rt1zI|0|Mon Feb 15 20:52:24 +0000 2016
@YoursEmily @AngelSl0vesS my love for you is indescribable ^^    |0|Mon Feb 15 20:52:24 +0000 2016
